book_id,goodreads_book_id,title,authors,genres
2401,22571540,The Stranger,Harlan Coben,"adult-fiction,contemporary,crime,crime-mystery,crime-thriller,fiction,general-fiction,murder-mystery,mysteries-thrillers,mystery,mystery-crime,mystery-suspense,mystery-suspense-thriller,mystery-thriller,mystery-thriller-suspense,mystery-thrillers,psychological-thriller,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers,to-read-fiction"
2402,1537534,"Unbelievable (Pretty Little Liars, #4)",Sara Shepard,"contemporary,crime,fiction,mystery,mystery-suspense,mystery-thriller,realistic-fiction,romance,suspense,teen,teen-books,teen-fiction,thriller,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,ya-series,young-adult,young-adult-fiction"
2403,45195,A Passage to India,"E.M. Forster, Oliver Stallybrass, Pankaj Mishra","adult-fiction,british-literature,classic-literature,classics,classics-to-read,english-literature,fiction,fiction-to-read,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-classics,modern-fiction,to-read-classics,to-read-fiction"
2404,19549841,"Seraphina (Seraphina, #1)",Rachel Hartman,"dragon,dragons,fantasy,fantasy-sci-fi,fantasy-scifi,fantasy-to-read,fiction,historical,magic,mystery,romance,royalty,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,teen,to-read-fantasy,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fantasy,young-adult-fiction"
2405,26046,"Morrigan's Cross (Circle Trilogy, #1)",Nora Roberts,"adult-fiction,contemporary,contemporary-romance,fantasy,fantasy-paranormal,fantasy-romance,fantasy-sci-fi,fiction,historical,horror,magic,mystery,mythology,paranormal-fantasy,paranormal-romance,romance,romance-contemporary,romance-paranormal,romances,romantic-suspense,sci-fi,sci-fi-fantasy,supernatural-romance,suspense,witches,wizards"
2406,49824,"The Mammoth Hunters (Earth's Children, #3)",Jean M. Auel,"adult-fiction,american-literature,children,classics,contemporary,fantasy,fantasy-scifi,fiction,fiction-historical,general-fiction,historic-fiction,historical,historical-fantasy,historical-fiction,historical-novel,historical-romance,historicalfiction,history,literature,romance,sci-fi-fantasy,science-fiction,speculative-fiction"
2407,2903736,"Princeps' Fury (Codex Alera, #5)",Jim Butcher,"adult-fiction,alternate-history,classic-fantasy,fantasy,fantasy-epic,fantasy-high,fantasy-magic,fantasy-read,fantasy-sci-fi,fantasy-scifi,fantasy-series,fiction,fiction-fantasy,genre-fantasy,heroic-fantasy,magic,military,military-fantasy,military-fiction,read-fantasy,romance,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,to-read-fantasy,war,wars,young-adult"
2408,73968,"Love Story (Love Story, #1)",Erich Segal,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,contemporary-romance,fiction,fiction-general,general-fiction,literature,love-story,popular-fiction,realistic-fiction,romance,womens-fiction,young-adult"
2409,858513,Chrysanthemum,Kevin Henkes,"02-fantasy,children,children-books,children-s,children-s-book,children-s-books,children-s-lit,children-s-literature,children-s-picture-books,childrens,childrens-books,childrens-lit,childrens-literature,childrens-picture-books,childrensbooks,classics,fantasy,favorite-children-s-books,fiction,genre-fantasy,modern-fantasy,realistic-fiction"
2410,11808950,"Sweet Evil (Sweet, #1)",Wendy Higgins,"contemporary,fantasy,fantasy-paranormal,fiction,magic,mythology,paranormal-fantasy,paranormal-romance,romance,teen,ya,ya-books,ya-fantasy,ya-paranormal,ya-romance,young-adult"
2411,21484,"The Winds of War (The Henry Family, #1)",Herman Wouk,"american-literature,classic-literature,classics,fiction,fiction-historical,fiction-literature,general-fiction,historic-fiction,historical,historical-fiction,historical-novel,historical-novels,historicalfiction,history,literature,military,military-fiction,politics,read-fiction,romance,war,world-war-2,world-war-ii,world-war-ll"
2412,12341557,"The Wind Through the Keyhole (The Dark Tower, #4.5)","Stephen King, Jae Lee","adult-fiction,fantasy,fantasy-sci-fi,fantasy-scifi,fantasy-series,fiction,horror,horror-thriller,magic,mystery,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,speculative-fiction,thriller"
2413,68527,"The Last Kingdom (The Saxon Stories, #1)",Bernard Cornwell,"adult-fiction,british-history,british-literature,fantasy,fiction,fiction-historical,general-fiction,historic-fiction,historical,historical-fantasy,historical-fiction,historical-novel,historical-novels,history,history-fiction,literature,military,to-read-fiction,to-read-historical-fiction,war"
2414,81948,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,"business-economics,general-nonfiction,non-fiction,non-fiction-to-read,nonfiction,psychology"
2415,281235,"Bunnicula (Bunnicula, #1)","James Howe, Deborah Howe, Alan Daniel","02-fantasy,children,children-s,children-s-book,children-s-books,children-s-chapter-books,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-book,childrens-books,childrens-chapter-books,childrens-fiction,childrens-lit,childrens-literature,classics,fantasy,fiction,horror,juvenile-fiction,middle-grade,mystery,sci-fi-fantasy,ya,ya-fiction,young-adult"
2416,66678,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",R.A. Salvatore,"adult-fantasy,classic-fantasy,dungeons-and-dragons,fantasy,fantasy-adventure,fantasy-fiction,fantasy-read,fantasy-sci-fi,fantasy-science-fiction,fantasy-scifi,fantasy-series,fiction,fiction-fantasy,heroic-fantasy,magic,read-fantasy,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,speculative-fiction,young-adult"
2417,11947829,"Ascend (Trylle, #3)",Amanda Hocking,"fantasy,fantasy-paranormal,fantasy-romance,fantasy-sci-fi,fiction,magic,paranormal-fantasy,paranormal-romance,romance,royalty,sci-fi-fantasy,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-paranormal,young-adult,young-adult-fantasy,young-adult-fiction"
2418,10822858,"The Keeper of Lost Causes (Department Q, #1)","Jussi Adler-Olsen, Lisa Hartford","adult-fiction,contemporary,crime,crime-and-mystery,crime-mystery,crime-mystery-thriller,crime-novels,crime-thriller,detective,detectives,fiction,murder-mystery,mysteries-thrillers,mystery,mystery-crime,mystery-detective,mystery-suspense,mystery-thriller,mystery-thriller-suspense,mystery-thrillers,noir,nordic-noir,scandinavian-crime,scandinavian-literature,scandinavian-mystery,suspense,thriller,thrillers,to-read-fiction"
2419,23876,Of Love and Other Demons,Gabriel García Márquez,"adult-fiction,classics,contemporary,contemporary-fiction,fantasy,fiction,general-fiction,historical,historical-fiction,latin-american-literature,literary-fiction,literature,magic-realism,magical-realism,spanish-literature,to-read-fiction,world-literature"
2420,3992598,The Demigod Files (Percy Jackson and the Olympians),Rick Riordan,"children,children-s,children-s-books,childrens,contemporary,fantasy,fantasy-sci-fi,fiction,greek-mythology,magic,middle-grade,mythology,romance,sci-fi-fantasy,teen,ya,ya-fantasy,young-adult,young-adult-fiction"
2421,1297985,Musicophilia: Tales of Music and the Brain,Oliver Sacks,"adult-non-fiction,adult-nonfiction,biography,memoir,non-fiction,non-fiction-science,non-fiction-to-read,nonfiction,nonfiction-to-read,philosophy,psychology,psychology-sociology,to-read-non-fiction,to-read-nonfiction"
2422,25526965,"End of Watch (Bill Hodges Trilogy, #3)",Stephen King,"adult-fiction,contemporary,contemporary-fiction,crime,crime-mystery,crime-thriller,detective,fantasy,fiction,horror,horror-thriller,mysteries-thrillers,mystery,mystery-and-thriller,mystery-crime,mystery-suspense,mystery-thriller,sci-fi,science-fiction,suspense,suspense-thriller,thriller,thrillers,to-read-fiction"
2423,3684856,Fool,Christopher Moore,"adult-fiction,alternate-history,classics,contemporary,contemporary-fiction,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,general-fiction,ghosts,historical,historical-fiction,history,literature,sci-fi-fantasy"
2424,69136,The Book of Lost Things,John Connolly,"adult-fiction,children,childrens,contemporary,contemporary-fiction,fairy-tales,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,general-fiction,gothic,historical,historical-fiction,horror,magic,magical-realism,middle-grade,mystery,mythology,sci-fi-fantasy,scifi-fantasy,suspense,thriller,to-read-fantasy,to-read-fiction,war,ya,ya-fantasy,young-adult"
2425,49195,My Life,Bill Clinton,"american-history,auto-biography,autobiography,autobiography-biography,autobiography-memoir,bio-memoir,biography,biography-autobiography,biography-memoir,fiction,historical,history,memoir,memoir-autobiography,memoir-biography,memoirs,non-fiction,nonfiction,politics,to-read-nonfiction"
2426,59952,300,"Frank Miller, Lynn Varley","comic-graphic-novel,comic-manga,comics,comics-and-graphic-novels,comics-and-manga,comics-graphic-novel,comics-graphic-novels,comics-manga,comics-read,comics-to-read,contemporary,fantasy,fiction,graphic-novel,graphic-novel-comics,graphic-novel-manga,graphic-novels,graphic-novels-and-comics,graphic-novels-comics,graphic-novels-manga,graphic-novels-read,historic-fiction,historical,historical-fiction,history,manga-and-graphic-novels,manga-comics,manga-graphic-novels,military,mythology,read-comics,to-read-comics,to-read-graphic-novels,war"
2427,6697305,"Storm Warning (The 39 Clues, #9)",Linda Sue Park,"children,children-s,children-s-books,children-s-fiction,children-s-literature,childrens,childrens-books,contemporary,fantasy,fantasy-sci-fi,fiction,historical,historical-fiction,history,j-fiction,junior-fiction,juvenile-fiction,middle-grade,middle-grades,mystery,realistic-fiction,suspense,teen,thriller,ya,ya-fiction,young-adult"
2428,6950688,"Only the Good Spy Young (Gallagher Girls, #4)",Ally Carter,"a-fiction,contemporary,crime,fantasy,fiction,mystery,mystery-thriller,realistic-fiction,romance,suspense,teen,teen-books,teen-fiction,teens,thriller,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,ya-romance,ya-series,young-adult,young-adult-fiction"
2429,455941,"Persuader (Jack Reacher, #7)",Lee Child,"action-thriller,adult-fiction,crime,crime-mystery,crime-thriller,crime-thrillers,detective,fiction,fiction-thriller,general-fiction,military,mystery,mystery-crime,mystery-suspense,mystery-suspense-thriller,mystery-thriller,mystery-thrillers,suspense,suspense-thriller,thriller,thriller-suspense,thrillers"
2430,58077,"Grave Sight (Harper Connelly, #1)",Charlaine Harris,"adult-fiction,contemporary,cozy-mystery,crime,crime-mystery,detective,fantasy,fantasy-paranormal,fantasy-sci-fi,fantasy-scifi,fiction,ghost,ghosts,horror,magic,murder-mystery,mystery,mystery-crime,mystery-suspense,mystery-thriller,paranormal-fantasy,paranormal-fiction,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi-fantasy,suspense,thriller,ya,young-adult"
2431,1991039,"Flaggermusmannen (Harry Hole, #1)","Jo Nesbø, Don Bartlett","adult-fiction,contemporary,crime,crime-and-mystery,crime-detective,crime-mystery,crime-mystery-thriller,crime-thriller,crime-thrillers,detective,fiction,murder-mystery,mysteries-thrillers,mystery,mystery-crime,mystery-detective,mystery-suspense,mystery-thriller,noir,nordic-noir,scandinavian-crime,suspense,thriller,thriller-mystery,thrillers"
2432,407234,"Blood Brothers (Sign of Seven, #1)",Nora Roberts,"adult-fiction,contemporary,contemporary-romance,fantasy,fantasy-paranormal,fantasy-romance,fantasy-sci-fi,fiction,horror,magic,mystery,mystery-suspense,mystery-thriller,paranormal-fantasy,paranormal-romance,romance,romance-contemporary,romance-paranormal,romances,romantic-suspense,sci-fi-fantasy,supernatural-romance,suspense,thriller,witches"
2433,10912,Picture Perfect,Jodi Picoult,"adult-fiction,contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,literature,mystery,popular-fiction,read-fiction,realistic-fiction,romance,women-s-fiction,womens-fiction"
2434,294963,"Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story (Rurouni Kenshin, #1)","Nobuhiro Watsuki, Kenichiro Yagi","anime-manga,classics,comic-manga,comics,comics-and-graphic-novels,comics-and-manga,comics-graphic-novels,comics-manga,crime,fantasy,favorite-manga,fiction,graphic-novel,graphic-novels,graphic-novels-and-comics,graphic-novels-and-manga,graphic-novels-comics,graphic-novels-manga,historical,historical-fiction,history,manga,manga-and-comics,manga-and-graphic-novels,manga-anime,manga-comics,manga-graphic-novel,manga-graphic-novels,manga-i-ve-read,manga-manhwa,manga-read,manga-romance,manga-series,manga-to-read,mangas,mangas-comics,my-manga,owned-manga,read-comics,read-manga,romance,shonen-manga,teen,to-read-manga,ya,young-adult"
2435,9888775,Catching Jordan,Miranda Kenneally,"contemporary,contemporary-fiction,contemporary-romance,contemporary-ya,fiction,high-school-romance,realistic-fiction,romance,sports-romance,teen,teen-fiction,teen-romance,ya,ya-books,ya-contemporary,ya-fiction,ya-na,ya-romance,young-adult,young-adult-fiction,young-adult-romance"
2436,18600,Touching the Void: The True Story of One Man's Miraculous Survival,Joe Simpson,"auto-biography,autobiography,bio-memoir,biography,biography-and-memoir,biography-autobiography,biography-autobiography-memoir,biography-memoir,contemporary,fiction,history,literature,memoir,memoirs,memoirs-biographies,non-fiction,non-fiction-to-read,nonfiction,thriller,to-read-non-fiction,to-read-nonfiction"
2437,15784909,"This Girl (Slammed, #3)",Colleen Hoover,"college-romance,contemporary,contemporary-romance,fiction,poetry,realistic-fiction,romance,ya,ya-na,ya-romance,young-adult,young-adult-romance"
2438,205330,There Was an Old Lady Who Swallowed a Fly,Simms Taback,"award-winners,caldecott-award,children,children-books,children-picture-books,children-read,children-s,children-s-book,children-s-books,children-s-fiction,children-s-lit,children-s-literature,children-s-picture-books,childrens,childrens-books,childrens-lit,childrens-literature,childrens-picture-books,classics,fantasy,favorite-children-s-books,fiction,folklore,poetry,traditional-literature"
2439,2255,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,"biography,biography-memoir,classics,contemporary,fantasy,fiction,literature,memoir,memoirs,non-fiction,nonfiction,philosophy,philosophy-religion,psychology,to-read-non-fiction"
2440,12781,The Satanic Verses,Salman Rushdie,"adult-fiction,british-literature,classics,classics-to-read,contemporary,contemporary-fiction,fantasy,fiction,fiction-to-read,general-fiction,historical-fiction,indian-literature,literary-fiction,literature,magic-realism,magical,magical-realism,modern-classics,modern-fiction,philosophy,politics,to-read-fiction,world-literature"
2441,6178648,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"adult-non-fiction,adult-nonfiction,asian-literature,biography,biography-memoir,contemporary,economics,general-non-fiction,historical,history,memoir,memoirs,national-book-award,non-fiction,non-fiction-to-read,nonfiction,politics,science-fiction,to-read-non-fiction,to-read-nonfiction,war,world-history"
2442,866222,Winning,"Jack Welch, Suzy Welch","auto-biography,autobiography,biography,biography-memoir,business-economics,economics,memoir,memoirs,non-fiction,non-fiction-to-read,nonfiction,to-read-non-fiction"
2443,17158596,"Collide (Collide, #1)",Gail McHugh,"adult-fiction,adult-romance,contemporary,contemporary-romance,erotic-romance,fiction,new-adult-romance,romance,romance-contemporary"
2444,3860977,How We Decide,Jonah Lehrer,"behavioral-economics,economics,non-fiction,non-fiction-to-read,nonfiction,nonfiction-to-read,philosophy,psychology,social-psychology,to-read-non-fiction,to-read-nonfiction"
2445,91661,"The Beekeeper's Apprentice (Mary Russell, #1)",Laurie R. King,"adult-fiction,cozy-mystery,crime,crime-mystery,detective,fantasy,fiction,fiction-historical,fiction-mystery,general-fiction,historical,historical-fiction,historical-mysteries,historical-mystery,history,mystery,mystery-crime,mystery-detective,mystery-historical,mystery-series,mystery-suspense,mystery-thriller,romance,suspense,thriller,to-read-fiction,to-read-mystery,young-adult"
2446,356321,The Story of Babar,"Jean de Brunhoff, Merle S. Haas","childhood-classics,children,children-books,children-fiction,children-s,children-s-book,children-s-books,children-s-classics,children-s-fiction,children-s-lit,children-s-literature,children-s-picture-books,children-ya,children-young-adult,childrens,childrens-book,childrens-books,childrens-classics,childrens-fiction,childrens-lit,childrens-literature,childrens-picture-books,childrensbooks,classics,fantasy,favorite-children-s-books,favorite-childrens-books,fiction,for-children,literature,ya,young-adult,young-children"
2447,8458018,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",Michael Scott,"children,childrens,fantasy,fantasy-magic,fantasy-sci-fi,fiction,folklore,historical,historical-fiction,magic,middle-grade,mystery,mythology,sci-fi,sci-fi-fantasy,science-fiction,teen,teen-fantasy,teens,witches,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-books,young-adult-fantasy,young-adult-fiction"
2448,6316821,"First Lord's Fury (Codex Alera, #6)",Jim Butcher,"adult-fantasy,adult-fiction,classic-fantasy,fantasy,fantasy-epic,fantasy-fiction,fantasy-magic,fantasy-read,fantasy-sci-fi,fantasy-scifi,fantasy-series,fiction,fiction-fantasy,good-fantasy,heroic-fantasy,magic,military,military-fantasy,read-fantasy,romance,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,sf-fantasy,to-read-fantasy,war,wars,ya,young-adult"
2449,6834410,The Imperfectionists,Tom Rachman,"adult-fiction,contemporary,contemporary-fiction,fiction,fiction-literature,fiction-to-read,general-fiction,historical-fiction,literary-fiction,literature,modern-fiction,realistic-fiction,to-read-fiction"
2450,16151178,The Sea of Tranquility,Katja Millay,"contemporary,contemporary-romance,crime,fiction,high-school-romance,love-story,mystery,realistic-fiction,romance,teen,ya,ya-books,ya-contemporary,ya-romance,young-adult,young-adult-fiction"
2451,9517,"Persepolis 2: The Story of a Return (Persepolis, #2)","Marjane Satrapi, Anjali Singh","autobiography,autobiography-memoir,bio-memoir,biographies-and-memoirs,biographies-memoirs,biography,biography-memoir,comic-graphic-novel,comics,comics-and-graphic-novels,comics-graphic-novels,contemporary,fiction,graphic-novel,graphic-novels,graphic-novels-and-comics,graphic-novels-comics,graphic-novels-manga,historical,historical-fiction,history,literature,memoir,memoir-biography,memoirs,non-fiction,nonfiction,politics,teen,war,ya,young-adult"
2452,64217,"Pyramids (Discworld, #7)",Terry Pratchett,"british-literature,comic-fantasy,fantasy,fantasy-and-sci-fi,fantasy-fiction,fantasy-humor,fantasy-humour,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,magic,mythology,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,speculative-fiction,young-adult"
2453,149302,"Silverthorn (The Riftwar Saga, #3)",Raymond E. Feist,"classic-fantasy,dragons,fantasy,fantasy-and-sci-fi,fantasy-epic,fantasy-fiction,fantasy-high,fantasy-read,fantasy-sci-fi,fantasy-science-fiction,fantasy-scifi,fantasy-series,fantasy-sf,fantasy-to-read,fiction,fiction-fantasy,heroic-fantasy,magic,mystery,read-fantasy,romance,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,speculative-fiction,to-read-fantasy,war,young-adult"
2454,1314332,Before I Die,Jenny Downham,"contemporary-fiction,fiction,realistic-fiction,romance,teen,teen-books,teen-fiction,ya,ya-books,ya-contemporary,ya-fiction,young-adult,young-adult-fiction"
2455,6728738,Committed: A Skeptic Makes Peace with Marriage,Elizabeth Gilbert,"adult-non-fiction,adult-nonfiction,auto-biography,autobiography,bio-memoir,biography,biography-memoir,contemporary,fiction,history,memoir,memoir-bio,memoir-biography,memoirs,memoirs-and-biographies,memoirs-biographies,non-fiction,nonfiction,psychology,romance"
2456,104378,Keeping the Moon,Sarah Dessen,"contemporary,contemporary-fiction,contemporary-romance,contemporary-ya,fiction,realistic-fiction,romance,teen,teen-books,teen-fiction,teen-romance,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,ya-novels,ya-realistic-fiction,ya-romance,young-adult,young-adult-books,young-adult-fiction,young-adult-romance"
2457,18080920,"The Transfer (Divergent, #0.1)",Veronica Roth,"fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,teen,ya,ya-books,ya-dystopia,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
2458,43887,"Chainfire (Sword of Truth, #9)",Terry Goodkind,"adult-fantasy,adult-fiction,fantasy,fantasy-books,fantasy-epic,fantasy-fiction,fantasy-high,fantasy-magic,fantasy-read,fantasy-sci-fi,fantasy-science-fiction,fantasy-scifi,fantasy-series,fiction,fiction-fantasy,heroic-fantasy,magic,mystery,read-fantasy,romance,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,to-read-fantasy,wizards"
2459,129650,Mastering the Art of French Cooking,"Julia Child, Simone Beck, Louisette Bertholle","non-fiction,non-fiction-to-read,nonfiction"
2460,9876989,"Blue Exorcist, Vol. 1  (Blue Exorcist, #1)","Kazue Kato, John Werry","comic-manga,comics,comics-and-manga,comics-graphic-novels,comics-manga,fantasy,favorite-manga,fiction,graphic-novel,graphic-novel-manga,graphic-novels,graphic-novels-and-manga,graphic-novels-comics,graphic-novels-manga,horror,magic,manga,manga-and-comics,manga-and-graphic-novels,manga-anime,manga-books,manga-collection,manga-comic,manga-comics,manga-graphic-novel,manga-graphic-novels,manga-i-own,manga-manhwa,manga-manhwa-manhua,manga-read,manga-series,manga-to-read,mangas,mangas-comics,my-manga,owned-manga,read-manga,teen,to-read-manga,ya,young-adult"
2461,604803,"Confessor (Sword of Truth, #11)",Terry Goodkind,"adult-fantasy,dragons,fantasy,fantasy-epic,fantasy-fiction,fantasy-high,fantasy-magic,fantasy-read,fantasy-sci-fi,fantasy-scifi,fantasy-series,fiction,fiction-fantasy,magic,medieval-fantasy,philosophy,read-fantasy,romance,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,to-read-fantasy,wizards"
2462,88815,The Reluctant Fundamentalist,Mohsin Hamid,"adult-fiction,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,literary-fiction,literature,modern-fiction,politics,realistic-fiction,romance,suspense,thriller,to-read-fiction,war"
2463,12432220,The False Prince (The Ascendance Trilogy #1),Jennifer A. Nielsen,"02-fantasy,children,children-s,children-s-books,children-s-lit,childrens,fantasy,fantasy-sci-fi,fiction,historical,historical-fiction,juvenile-fiction,middle-grade,middle-grades,mystery,romance,royalty,sci-fi-fantasy,suspense,teen,teen-fantasy,to-read-fantasy,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fantasy,young-adult-fiction"
2464,85386,"Rabbit, Run (Rabbit Angstrom #1)",John Updike,"adult-fiction,american-fiction,american-literature,classic-fiction,classic-literature,classics,classics-to-read,contemporary,contemporary-fiction,fiction,fiction-classics,fiction-general,fiction-to-read,general-fiction,literary-fiction,literature,modern-classics,modern-fiction,to-read-fiction"
2465,56627,Stumbling on Happiness,Daniel Todd Gilbert,"behavioral-economics,economics,non-fiction,non-fiction-to-read,nonfiction,nonfiction-to-read,philosophy,psychology,psychology-books,psychology-self-help,psychology-sociology,social-psychology,to-read-non-fiction,to-read-nonfiction,to-read-psychology"
2466,400412,The Waste Land and Other Poems,T.S. Eliot,"american-literature,british-literature,classic-literature,classics,classics-to-read,english-literature,fiction,literature,modern-classics,non-fiction,nonfiction,philosophy,poetry,poetry-and-plays,poetry-plays,poetry-to-read,to-read-poetry"
2467,201146,Little Bear,"Else Holmelund Minarik, Maurice Sendak","children,children-books,children-s,children-s-book,children-s-books,children-s-classics,children-s-fiction,children-s-lit,children-s-literature,children-s-picture-books,children-ya,children-young-adult,childrens,childrens-books,childrens-fiction,childrens-lit,childrens-literature,childrens-picture-books,childrensbooks,classics,fantasy,favorite-children-s-books,favorite-childrens-books,fiction,for-children,juvenile-fiction,read-children-s-books"
2468,206172,The Pit and the Pendulum,Edgar Allan Poe,"adult-fiction,american-literature,classic-fiction,classic-literature,classics,classics-read,classics-to-read,creepy,crime,fantasy,fiction,fiction-horror,gothic,gothic-horror,historical-fiction,history,horror,horror-fiction,horror-suspense,literary-fiction,literature,mystery,mystery-thriller,poetry,short-fiction,suspense,suspense-thriller,the-classics,thriller,young-adult"
2469,34529,"Lords and Ladies (Discworld, #14; Witches #4)",Terry Pratchett,"adult-fantasy,comic-fantasy,fantasy,fantasy-and-sci-fi,fantasy-fiction,fantasy-humor,fantasy-humour,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,genre-fantasy,magic,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,speculative-fiction,witches,wizards,young-adult"
2470,62530,"Thud! (Discworld, #34; City Watch #7)",Terry Pratchett,"adult-fiction,comic-fantasy,crime,fantasy,fantasy-and-sci-fi,fantasy-fiction,fantasy-humor,fantasy-humour,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,genre-fantasy,magic,mystery,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,speculative-fiction"
2471,28876,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"adult-fiction,alt-history,alternate-history,alternative-history,dragon,dragons,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fantasy-to-read,fiction,genre-fantasy,historical,historical-fantasy,historical-fiction,history,magic,military,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,sf-fantasy,speculative-fiction,to-read-fantasy,war,ya,young-adult"
2472,444304,"The Field Guide (The Spiderwick Chronicles, #1)","Holly Black, Tony DiTerlizzi","children,children-books,children-s,children-s-books,children-s-fiction,children-s-lit,children-s-literature,childrens,childrens-books,childrens-fantasy,childrens-fiction,childrens-lit,childrens-literature,contemporary,fairy-tales,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,j-fiction,juvenile-fiction,magic,middle-grade,mystery,sci-fi-fantasy,teen,ya,ya-fantasy,young-adult"
2473,7497897,Radical: Taking Back Your Faith from the American Dream,David Platt,"adult-non-fiction,christian-literature,christian-non-fiction,christian-nonfiction,non-fiction,nonfiction,nonfiction-to-read,to-read-non-fiction"
2474,1303,The 48 Laws of Power,"Robert Greene, Joost Elffers","biography,classics,economics,historical,history,non-fiction,non-fiction-to-read,nonfiction,philosophy,politics,psychology,social-psychology,to-read-non-fiction,to-read-nonfiction,war"
2475,41667,"My Side of the Mountain (Mountain, #1)",Jean Craighead George,"award-winners,children,children-s,children-s-books,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-books,childrens-fiction,childrens-lit,childrens-literature,classics,contemporary,contemporary-fiction,fiction,historical-fiction,juvenile-fiction,literature,middle-grade,middle-grades,realistic-fiction,teen,ya,ya-fiction,ya-lit,young-adult,young-adult-fiction,youth-fiction"
2476,3392089,"The Winter Sea (Slains, #1)","Susanna Kearsley, Rosalyn Landor","adult-fiction,contemporary,contemporary-fiction,contemporary-romance,fantasy,fiction,fiction-historical,general-fiction,gothic,historic-fiction,historical,historical-fiction,historical-romance,history,love-story,magical-realism,mystery,romance,romance-historical,sci-fi,science-fiction,to-read-historical-fiction"
2477,5861926,"The Sword Thief (The 39 Clues, #3)",Peter Lerangis,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,contemporary,fantasy,fiction,historical,historical-fiction,history,j-fiction,junior-fiction,juvenile-fiction,middle-grade,middle-grades,mystery,realistic-fiction,suspense,teen,thriller,ya,ya-fiction,young-adult"
